FATALITY_DATE,DEPLOYMENT_PROVINCE_1,count
1970-02-01,Binh Dinh,38
1970-02-01,Quang Ngai,48
1970-02-01,Tay Ninh,50
1970-02-01,Thua Thien - Hue,63
1970-02-01,Other provinces,146
1970-02-01,Quang Nam,151
1970-03-01,Kon Tum,1
1970-03-01,Quang Tri,15
1970-03-01,Binh Duong,27
1970-03-01,Binh Dinh,40
1970-03-01,Quang Ngai,52
1970-03-01,Tay Ninh,66
1970-03-01,Thua Thien - Hue,78
1970-03-01,Quang Nam,152
1970-03-01,Other provinces,200
1970-04-01,Kon Tum,15
1970-04-01,Binh Duong,26
1970-04-01,Quang Tri,33
1970-04-01,Binh Dinh,46
1970-04-01,Quang Ngai,60
1970-04-01,Quang Nam,82
1970-04-01,Thua Thien - Hue,91
1970-04-01,Tay Ninh,93
1970-04-01,Other provinces,202
1970-05-01,Binh Duong,10
1970-05-01,Kon Tum,14
1970-05-01,Tay Ninh,30
1970-05-01,Binh Dinh,38
1970-05-01,Quang Ngai,61
1970-05-01,Quang Tri,74
1970-05-01,Quang Nam,120
1970-05-01,Thua Thien - Hue,123
1970-05-01,Other provinces,423
1970-06-01,Kon Tum,6
1970-06-01,Binh Duong,17
1970-06-01,Quang Ngai,19
1970-06-01,Quang Tri,20
1970-06-01,Tay Ninh,32
1970-06-01,Binh Dinh,50
1970-06-01,Thua Thien - Hue,54
1970-06-01,Quang Nam,106
1970-06-01,Other provinces,221
1970-07-01,Binh Duong,11
1970-07-01,Kon Tum,13
1970-07-01,Quang Tri,16
1970-07-01,Quang Ngai,30
1970-07-01,Tay Ninh,30
1970-07-01,Binh Dinh,43
1970-07-01,Thua Thien - Hue,92
1970-07-01,Quang Nam,96
1970-07-01,Other provinces,163
1970-08-01,Kon Tum,4
1970-08-01,Quang Tri,21
1970-08-01,Tay Ninh,21
1970-08-01,Binh Duong,29
1970-08-01,Binh Dinh,35
1970-08-01,Thua Thien - Hue,35
1970-08-01,Quang Ngai,39
1970-08-01,Other provinces,124
1970-08-01,Quang Nam,127
1970-09-01,Kon Tum,1
1970-09-01,Tay Ninh,3
1970-09-01,Binh Duong,21
1970-09-01,Thua Thien - Hue,21
1970-09-01,Quang Tri,24
1970-09-01,Quang Ngai,37
1970-09-01,Binh Dinh,67
1970-09-01,Quang Nam,82
1970-09-01,Other provinces,97
1970-10-01,Kon Tum,1
1970-10-01,Tay Ninh,9
1970-10-01,Quang Tri,11
1970-10-01,Thua Thien - Hue,15
1970-10-01,Binh Duong,15
1970-10-01,Binh Dinh,42
1970-10-01,Quang Ngai,52
1970-10-01,Quang Nam,60
1970-10-01,Other provinces,100
1970-11-01,Kon Tum,1
1970-11-01,Tay Ninh,1
1970-11-01,Quang Tri,7
1970-11-01,Binh Duong,12
1970-11-01,Binh Dinh,26
1970-11-01,Thua Thien - Hue,28
1970-11-01,Quang Ngai,45
1970-11-01,Quang Nam,70
1970-11-01,Other provinces,97
1970-12-01,Kon Tum,2
1970-12-01,Tay Ninh,5
1970-12-01,Quang Tri,8
1970-12-01,Binh Duong,8
1970-12-01,Binh Dinh,15
1970-12-01,Quang Ngai,25
1970-12-01,Thua Thien - Hue,32
1970-12-01,Quang Nam,45
1970-12-01,Other provinces,146
1971-01-01,Kon Tum,2
1971-01-01,Tay Ninh,3
1971-01-01,Binh Duong,4
1971-01-01,Thua Thien - Hue,15
1971-01-01,Quang Tri,20
1971-01-01,Quang Ngai,21
1971-01-01,Binh Dinh,22
1971-01-01,Quang Nam,48
1971-01-01,Other provinces,89
1971-02-01,Tay Ninh,10
1971-02-01,Binh Duong,11
1971-02-01,Quang Ngai,25
1971-02-01,Binh Dinh,26
1971-02-01,Thua Thien - Hue,27
1971-02-01,Quang Nam,55
1971-02-01,Quang Tri,75
1971-02-01,Other provinces,111
1971-03-01,Tay Ninh,1
1971-03-01,Binh Duong,2
1971-03-01,Kon Tum,3
1971-03-01,Quang Ngai,20
1971-03-01,Thua Thien - Hue,20
1971-03-01,Binh Dinh,28
1971-03-01,Quang Nam,64
1971-03-01,Other provinces,90
1971-03-01,Quang Tri,133
1971-04-01,Tay Ninh,3
1971-04-01,Binh Duong,7
1971-04-01,Kon Tum,9
1971-04-01,Binh Dinh,24
1971-04-01,Quang Tri,33
1971-04-01,Quang Nam,39
1971-04-01,Quang Ngai,39
1971-04-01,Thua Thien - Hue,53
1971-04-01,Other provinces,92
1971-05-01,Tay Ninh,2
1971-05-01,Kon Tum,2
1971-05-01,Binh Duong,3
1971-05-01,Quang Ngai,4
1971-05-01,Binh Dinh,15
1971-05-01,Thua Thien - Hue,17
1971-05-01,Quang Nam,33
1971-05-01,Other provinces,55
1971-05-01,Quang Tri,56
1971-06-01,Binh Duong,1
1971-06-01,Tay Ninh,7
1971-06-01,Kon Tum,10
1971-06-01,Quang Ngai,10
1971-06-01,Binh Dinh,15
1971-06-01,Thua Thien - Hue,18
1971-06-01,Quang Nam,25
1971-06-01,Quang Tri,30
1971-06-01,Other provinces,53
1971-07-01,Tay Ninh,1
1971-07-01,Binh Duong,2
1971-07-01,Binh Dinh,8
1971-07-01,Quang Tri,8
1971-07-01,Quang Ngai,10
1971-07-01,Thua Thien - Hue,12
1971-07-01,Quang Nam,27
1971-07-01,Other provinces,45
1971-08-01,Tay Ninh,1
1971-08-01,Thua Thien - Hue,5
1971-08-01,Binh Dinh,6
1971-08-01,Quang Ngai,7
1971-08-01,Quang Tri,16
1971-08-01,Quang Nam,25
1971-08-01,Other provinces,52
1971-09-01,Tay Ninh,2
1971-09-01,Binh Dinh,4
1971-09-01,Binh Duong,5
1971-09-01,Quang Ngai,7
1971-09-01,Quang Tri,12
1971-09-01,Quang Nam,20
1971-09-01,Thua Thien - Hue,22
1971-09-01,Other provinces,55
1971-10-01,Tay Ninh,2
1971-10-01,Binh Dinh,2
1971-10-01,Binh Duong,3
1971-10-01,Quang Tri,4
1971-10-01,Quang Ngai,8
1971-10-01,Thua Thien - Hue,18
1971-10-01,Quang Nam,25
1971-10-01,Other provinces,50
1971-11-01,Quang Tri,1
1971-11-01,Binh Dinh,3
1971-11-01,Binh Duong,5
1971-11-01,Quang Nam,7
1971-11-01,Tay Ninh,7
1971-11-01,Other provinces,36
1971-11-01,Thua Thien - Hue,49
1971-12-01,Thua Thien - Hue,1
1971-12-01,Binh Dinh,2
1971-12-01,Tay Ninh,2
1971-12-01,Quang Nam,3
1971-12-01,Quang Tri,3
1971-12-01,Other provinces,36
1972-01-01,Binh Dinh,1
1972-01-01,Quang Tri,2
1972-01-01,Thua Thien - Hue,6
1972-01-01,Quang Nam,9
1972-01-01,Other provinces,24
1972-02-01,Thua Thien - Hue,1
1972-02-01,Binh Duong,4
1972-02-01,Quang Nam,6
1972-02-01,Other provinces,29
1972-03-01,Kon Tum,1
1972-03-01,Binh Duong,1
1972-03-01,Binh Dinh,2
1972-03-01,Quang Tri,2
1972-03-01,Quang Nam,3
1972-03-01,Other provinces,36
1972-04-01,Binh Duong,2
1972-04-01,Quang Tri,4
1972-04-01,Tay Ninh,5
1972-04-01,Binh Dinh,5
1972-04-01,Quang Nam,6
1972-04-01,Kon Tum,6
1972-04-01,Other provinces,38
1972-05-01,Quang Nam,1
1972-05-01,Binh Duong,1
1972-05-01,Binh Dinh,2
1972-05-01,Quang Tri,2
1972-05-01,Kon Tum,7
1972-05-01,Thua Thien - Hue,11
1972-05-01,Other provinces,47
1972-06-01,Kon Tum,2
1972-06-01,Quang Nam,2
1972-06-01,Quang Tri,3
1972-06-01,Binh Duong,3
1972-06-01,Binh Dinh,4
1972-06-01,Other provinces,54
1972-07-01,Kon Tum,3
1972-07-01,Binh Dinh,4
1972-07-01,Thua Thien - Hue,4
1972-07-01,Quang Nam,7
1972-07-01,Quang Tri,11
1972-07-01,Other provinces,20
1972-08-01,Thua Thien - Hue,2
1972-08-01,Quang Tri,2
1972-08-01,Quang Nam,5
1972-08-01,Other provinces,11
1972-09-01,Tay Ninh,1
1972-09-01,Quang Ngai,1
1972-09-01,Quang Nam,3
1972-09-01,Other provinces,13
1972-10-01,Quang Nam,1
1972-10-01,Quang Ngai,2
1972-10-01,Other provinces,47
1972-11-01,Quang Nam,3
1972-11-01,Other provinces,5
1972-12-01,Quang Nam,3
1972-12-01,Other provinces,18
1973-01-01,Quang Nam,1
1973-01-01,Other provinces,14
1973-02-01,Quang Nam,1
1973-02-01,Other provinces,4
1973-03-01,Other provinces,1
