PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
65031/67009,14779,65031,67009
46009/46999,14768,46999,46009
59073/59269,14744,59269,59073
46771/46841,14739,46771,46841
12101/42059,14734,12101,42059
44009/44871,14719,44871,44009
75009/76421,14717,76421,75009
28009/29039,14697,28009,29039
46119/46521,14687,46119,46521
84031/84661,14668,84031,84661
65191/75351,14620,75351,65191
22529/27131,14611,27131,22529
17009/17219,14601,17219,17009
17171/28679,14582,17171,28679
55159/55509,14579,55509,55159
75009/76129,14578,76129,75009
25429/26261,14566,26261,25429
22009/22411,14549,22009,22411
17009/17041,14547,17041,17009
21689/28099,14500,21689,28099
59009/59119,14494,59119,59009
22009/27101,14473,22009,27101
43009/43361,14467,43361,43009
77009/77221,14454,77009,77221
44869/45009,14445,44869,45009
64461/67601,14438,67601,64461
77009/77271,14437,77009,77271
59421/59571,14415,59421,59571
67401/67551,14396,67551,67401
77009/77219,14388,77219,77009
44291/44531,14376,44291,44531
66271/66359,14351,66271,66359
40011/50021,14350,40011,50021
22009/27109,14326,27109,22009
53009/53331,14323,53009,53331
59073/59299,14310,59073,59299
54009/54411,14296,54009,54411
28009/28681,14283,28009,28681
46009/47551,14276,46009,47551
59049/65199,14251,59049,65199
10299/11149,14224,11149,10299
59072/59171,14223,59171,59072
44531/45299,14197,45299,44531
84039/84241,14189,84241,84039
59009/59419,14188,59009,59419
44009/44299,14169,44009,44299
23189/23499,14162,23189,23499
44031/45309,14160,45309,44031
21619/28091,14152,28091,21619
76039/98019,14148,98019,76039
59079/59551,14146,59551,59079
65029/67009,14124,67009,65029
28671/42159,14114,28671,42159
43009/43509,14112,43009,43509
65009/65199,14089,65009,65199
10169/14269,14088,10169,14269
21569/28091,14085,28091,21569
67409/67699,14076,67409,67699
44031/44591,14062,44591,44031
75009/75271,14027,75009,75271
58211/58509,14017,58509,58211
44009/48131,14009,48131,44009
54189/54261,14005,54189,54261
65009/65541,14005,65009,65541
28009/29019,14000,28009,29019
17171/20299,13992,20299,17171
44009/45451,13985,44009,45451
46009/47561,13983,46009,47561
85061/85091,13982,85091,85061
47569/47599,13963,47599,47569
75009/75289,13958,75289,75009
58219/58411,13953,58219,58411
84231/85091,13950,84231,85091
46009/46088,13939,46088,46009
75009/75079,13922,75009,75079
53009/53349,13911,53349,53009
46008/46361,13897,46008,46361
64009/64409,13889,64409,64009
65009/76059,13878,65009,76059
14141/14241,13878,14141,14241
20219/28009,13877,20219,28009
10169/10189,13872,10189,10169
43009/43369,13855,43009,43369
52009/52301,13846,52301,52009
46009/46191,13839,46191,46009
14141/14279,13822,14141,14279
22009/27211,13815,27211,22009
50201/52009,13808,52009,50201
84009/84011,13788,84011,84009
11361/12121,13784,11361,12121
46009/46621,13761,46621,46009
85021/85099,13753,85021,85099
53239/53371,13745,53239,53371
72069/84009,13733,84009,72069
64571/67601,13706,67601,64571
65009/65209,13677,65209,65009
66301/66331,13677,66331,66301
43009/43339,13675,43339,43009
40121/40181,13668,40181,40121
45311/45321,13663,45311,45321
63011/63031,13652,63011,63031
21641/28091,13646,21641,28091
46009/76199,13646,76199,46009
66009/66271,13644,66271,66009
46009/46711,13626,46009,46711
22009/22019,13619,22019,22009
64009/66579,13597,64009,66579
50038/50189,13588,50189,50038
84209/84351,13578,84209,84351
75051/76071,13569,75051,76071
64009/64479,13550,64009,64479
45079/45139,13545,45139,45079
17009/17159,13528,17009,17159
52009/52289,13524,52289,52009
84101/85099,13510,85099,84101
54659/55509,13495,54659,55509
17009/20109,13474,20109,17009
58529/59079,13473,59079,58529
47571/47591,13466,47571,47591
84039/84641,13466,84039,84641
76039/76249,13462,76249,76039
44009/45261,13457,44009,45261
77009/78261,13438,77009,78261
84109/85091,13436,84109,85091
46489/46779,13425,46489,46779
22009/27419,13418,22009,27419
28009/28571,13412,28571,28009
63389/64009,13378,64009,63389
43009/43541,13357,43009,43541
21019/28009,13349,21019,28009
55509/64491,13347,55509,64491
75009/75109,13337,75009,75109
64009/64051,13330,64009,64051
67109/67409,13316,67109,67409
52009/60221,13313,52009,60221
54269/66109,13311,66109,54269
65009/65339,13310,65339,65009
52009/52411,13299,52009,52411
10161/10379,13299,10161,10379
10079/10161,13297,10079,10161
22521/27211,13297,22521,27211
22521/27131,13276,22521,27131
77009/78251,13272,77009,78251
75009/76121,13265,75009,76121
84009/84301,13264,84009,84301
66481/67609,13255,66481,67609
54009/54201,13255,54009,54201
65199/95029,13253,65199,95029
14161/15051,13250,14161,15051
62139/63291,13226,63291,62139
