id,driverRef,season,roundId,raceName,lap,time,position
4735,hamilton,2017,2,Chinese Grand Prix,33,98.163,1
4736,vettel,2017,2,Chinese Grand Prix,33,97.902,2
4737,raikkonen,2017,2,Chinese Grand Prix,33,98.591,3
4738,ricciardo,2017,2,Chinese Grand Prix,33,103.845,4
4739,max_verstappen,2017,2,Chinese Grand Prix,33,97.226,5
4740,bottas,2017,2,Chinese Grand Prix,33,99.355,6
4741,sainz,2017,2,Chinese Grand Prix,33,99.47,7
4742,alonso,2017,2,Chinese Grand Prix,33,102.387,8
4743,perez,2017,2,Chinese Grand Prix,33,99.082,9
4744,ocon,2017,2,Chinese Grand Prix,33,99.823,10
4745,kevin_magnussen,2017,2,Chinese Grand Prix,33,117.87,11
4746,hulkenberg,2017,2,Chinese Grand Prix,33,105.237,12
4747,grosjean,2017,2,Chinese Grand Prix,33,101.127,13
4748,massa,2017,2,Chinese Grand Prix,33,99.081,14
4749,jolyon_palmer,2017,2,Chinese Grand Prix,33,98.267,15
4750,ericsson,2017,2,Chinese Grand Prix,33,100.689,16
4751,hamilton,2017,2,Chinese Grand Prix,34,97.717,1
4752,vettel,2017,2,Chinese Grand Prix,34,102.847,2
4753,raikkonen,2017,2,Chinese Grand Prix,34,98.528,3
4754,max_verstappen,2017,2,Chinese Grand Prix,34,97.592,4
4755,bottas,2017,2,Chinese Grand Prix,34,99.243,5
4756,ricciardo,2017,2,Chinese Grand Prix,34,116.212,6
4757,sainz,2017,2,Chinese Grand Prix,34,97.945,7
4758,perez,2017,2,Chinese Grand Prix,34,99.595,8
4759,ocon,2017,2,Chinese Grand Prix,34,100.151,9
4760,kevin_magnussen,2017,2,Chinese Grand Prix,34,97.823,10
4761,grosjean,2017,2,Chinese Grand Prix,34,99.847,11
4762,massa,2017,2,Chinese Grand Prix,34,99.07,12
4763,hulkenberg,2017,2,Chinese Grand Prix,34,135.489,13
4764,jolyon_palmer,2017,2,Chinese Grand Prix,34,98.697,14
4765,ericsson,2017,2,Chinese Grand Prix,34,100.148,15
4766,hamilton,2017,2,Chinese Grand Prix,35,97.307,1
4767,raikkonen,2017,2,Chinese Grand Prix,35,98.493,2
4768,vettel,2017,2,Chinese Grand Prix,35,115.529,3
4769,max_verstappen,2017,2,Chinese Grand Prix,35,97.448,4
4770,ricciardo,2017,2,Chinese Grand Prix,35,96.813,5
4771,bottas,2017,2,Chinese Grand Prix,35,103.874,6
4772,sainz,2017,2,Chinese Grand Prix,35,97.908,7
4773,perez,2017,2,Chinese Grand Prix,35,99.122,8
4774,ocon,2017,2,Chinese Grand Prix,35,99.963,9
4775,kevin_magnussen,2017,2,Chinese Grand Prix,35,97.528,10
4776,massa,2017,2,Chinese Grand Prix,35,99.443,11
4777,grosjean,2017,2,Chinese Grand Prix,35,104.533,12
4778,hulkenberg,2017,2,Chinese Grand Prix,35,98.293,13
4779,jolyon_palmer,2017,2,Chinese Grand Prix,35,98.363,14
4780,ericsson,2017,2,Chinese Grand Prix,35,101.037,15
4781,hamilton,2017,2,Chinese Grand Prix,36,101.641,1
4782,raikkonen,2017,2,Chinese Grand Prix,36,98.527,2
4783,vettel,2017,2,Chinese Grand Prix,36,96.792,3
4784,max_verstappen,2017,2,Chinese Grand Prix,36,97.214,4
4785,ricciardo,2017,2,Chinese Grand Prix,36,96.791,5
4786,sainz,2017,2,Chinese Grand Prix,36,97.698,6
4787,bottas,2017,2,Chinese Grand Prix,36,116.711,7
4788,perez,2017,2,Chinese Grand Prix,36,99.423,8
4789,ocon,2017,2,Chinese Grand Prix,36,99.913,9
4790,kevin_magnussen,2017,2,Chinese Grand Prix,36,97.618,10
4791,massa,2017,2,Chinese Grand Prix,36,99.064,11
4792,hulkenberg,2017,2,Chinese Grand Prix,36,98.015,12
4793,grosjean,2017,2,Chinese Grand Prix,36,117.642,13
4794,jolyon_palmer,2017,2,Chinese Grand Prix,36,98.799,14
4795,ericsson,2017,2,Chinese Grand Prix,36,101.024,15
4796,hamilton,2017,2,Chinese Grand Prix,37,117.651,1
4797,raikkonen,2017,2,Chinese Grand Prix,37,99.143,2
4798,vettel,2017,2,Chinese Grand Prix,37,96.393,3
4799,max_verstappen,2017,2,Chinese Grand Prix,37,97.913,4
4800,ricciardo,2017,2,Chinese Grand Prix,37,97.052,5
4801,sainz,2017,2,Chinese Grand Prix,37,97.97,6
4802,bottas,2017,2,Chinese Grand Prix,37,96.177,7
4803,perez,2017,2,Chinese Grand Prix,37,99.454,8
4804,ocon,2017,2,Chinese Grand Prix,37,99.932,9
4805,kevin_magnussen,2017,2,Chinese Grand Prix,37,97.937,10
4806,massa,2017,2,Chinese Grand Prix,37,99.106,11
4807,hulkenberg,2017,2,Chinese Grand Prix,37,98.296,12
4808,grosjean,2017,2,Chinese Grand Prix,37,98.12,13
4809,jolyon_palmer,2017,2,Chinese Grand Prix,37,100.054,14
4810,ericsson,2017,2,Chinese Grand Prix,37,101.683,15
4811,hamilton,2017,2,Chinese Grand Prix,38,97.123,1
4812,raikkonen,2017,2,Chinese Grand Prix,38,99.215,2
4813,vettel,2017,2,Chinese Grand Prix,38,96.872,3
4814,max_verstappen,2017,2,Chinese Grand Prix,38,97.598,4
4815,ricciardo,2017,2,Chinese Grand Prix,38,97.572,5
4816,sainz,2017,2,Chinese Grand Prix,38,97.696,6
4817,bottas,2017,2,Chinese Grand Prix,38,95.912,7
4818,perez,2017,2,Chinese Grand Prix,38,99.242,8
4819,ocon,2017,2,Chinese Grand Prix,38,99.97,9
4820,kevin_magnussen,2017,2,Chinese Grand Prix,38,98.335,10
4821,massa,2017,2,Chinese Grand Prix,38,99.092,11
4822,grosjean,2017,2,Chinese Grand Prix,38,98.158,12
4823,hulkenberg,2017,2,Chinese Grand Prix,38,100.079,13
4824,jolyon_palmer,2017,2,Chinese Grand Prix,38,99.138,14
4825,ericsson,2017,2,Chinese Grand Prix,38,100.447,15
4826,hamilton,2017,2,Chinese Grand Prix,39,96.673,1
4827,vettel,2017,2,Chinese Grand Prix,39,97.021,2
4828,raikkonen,2017,2,Chinese Grand Prix,39,104.265,3
4829,max_verstappen,2017,2,Chinese Grand Prix,39,97.334,4
4830,ricciardo,2017,2,Chinese Grand Prix,39,96.847,5
4831,sainz,2017,2,Chinese Grand Prix,39,97.975,6
4832,bottas,2017,2,Chinese Grand Prix,39,96.588,7
4833,perez,2017,2,Chinese Grand Prix,39,99.336,8
4834,kevin_magnussen,2017,2,Chinese Grand Prix,39,98.867,9
4835,ocon,2017,2,Chinese Grand Prix,39,100.424,10
4836,massa,2017,2,Chinese Grand Prix,39,98.964,11
4837,grosjean,2017,2,Chinese Grand Prix,39,98.983,12
4838,hulkenberg,2017,2,Chinese Grand Prix,39,98.296,13
4839,jolyon_palmer,2017,2,Chinese Grand Prix,39,98.534,14
4840,ericsson,2017,2,Chinese Grand Prix,39,100.07,15
4841,hamilton,2017,2,Chinese Grand Prix,40,96.727,1
4842,vettel,2017,2,Chinese Grand Prix,40,95.423,2
